Amanita Muscaria
Armillaria Novae-Zelandiae
Aseroe Rubra
Auricularia Cornea
Cladia Retipora
Cladonia Confusa
Clathrus Archeri
Clavogaster Virescens
Coprinellus Disseminatus
Coprinus Comatus
Cruentomycena Viscidocruenta
Cyclocybe Parasitica
Dibaeis Arcuata
Entoloma Hochstetteri
Favolaschia Calocera
Flammulina Velutipes
Gymnopilus Junonius
Hericium Coralloides
Hypholoma Brunneum
Ileodictyon Cibarium
Leccinum Scabrum
Leratiomyces Ceres
Leratiomyces Erythrocephalus
Macrolepiota Clelandii
Mycena Interrupta
Mycena Lazulina
Podoscypha Petalodes
Pycnoporus Coccineus
Schizophyllum Commune
Trametes Versicolor
Tremella Fuciformis
